This document is a summary of the European Public Assessment Report ( EPAR ) .  ||| این سند خلاصه ای از گزارش ارزیابی عمومی اروپا (EPAR) است.
For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .  ||| برای اطلاعات بیشتر ، به خلاصه ویژگی های محصول (همچنین بخشی از EPAR) مراجعه کنید.
How does Alimta work ?  ||| Alimta چگونه کار می کند؟
The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .  ||| ماده فعال در Alimta ، Pemetrexed ، یک داروی سمیت سمی است (دارویی که سلول هایی را که تقسیم می شوند ، مانند سلولهای سرطانی) که متعلق به آنتیمتابولیت های گروه است ، می کند.
In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .  ||| در بدن ، Pemetrexed به یک شکل فعال تبدیل می شود که فعالیت آنزیم هایی را که در تولید نوکلئوتیدها نقش دارند (بلوک های ساختمانی DNA و RNA ، مواد ژنتیکی سلول ها) مسدود می کند.
How has Alimta been studied ?  ||| چگونه Alimta مورد مطالعه قرار گرفته است؟
For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .  ||| برای درمان مزوتلیوما بدخیم پلور ، Alimta در یک مطالعه اصلی در 456 بیمار که قبلاً شیمی درمانی برای بیماری خود دریافت نکرده بودند ، مورد مطالعه قرار گرفته است.
The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .  ||| اثرات ALIMTA در ترکیب با سیس پلاتین به تنهایی با سیس پلاتین مقایسه شد.
For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .  ||| برای درمان سرطان ریه سلول غیر کوچک ، اثرات Alimta با موارد Docetaxel (یکی دیگر از داروهای ضد سرطان) در یک مطالعه شامل 571 بیمار مبتلا به بیماری محلی پیشرفته یا متاستاتیک که در گذشته شیمی درمانی دریافت کرده بودند ، مقایسه شد.
Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .  ||| Alimta همچنین با Gemcitabine (یکی دیگر از داروهای ضد سرطان) ، هر دو در ترکیب با سیس پلاتین ، در یک مطالعه شامل 1،725 بیمار که در گذشته شیمی درمانی برای سرطان ریه دریافت نکرده بودند ، مقایسه شد.
In all three studies , the main measure of effectiveness was how long the patients survived .  ||| در هر سه مطالعه ، اندازه گیری اصلی اثربخشی این بود که بیماران چه مدت زنده مانده اند.
What benefit has Alimta shown during the studies ?  ||| Alimta در طول مطالعات چه فایده ای نشان داده است؟
Alimta increased the survival time of patients with malignant pleural mesothelioma .  ||| Alimta زمان بقای بیماران مبتلا به مزوتلیوما بدخیم پلور را افزایش داد.
Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .  ||| بیمارانی که Alimta و سیس پلاتین دریافت می کردند به طور متوسط 12.1 ماه زنده مانده بودند ، در مقایسه با 9.3 ماه در بیماران دریافت کننده سیس پلاتین.
In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .  ||| در درمان بیماران مبتلا به سرطان ریه سلول غیر کوچک ، Alimta به اندازه مقایسه کننده ها مؤثر بود.
In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .  ||| در بیمارانی که در گذشته شیمی درمانی دریافت کرده بودند ، میانگین زمان بقا 8.3 ماه با ALIMTA بود ، در مقایسه با 7.9 ماه با Docetaxel.
In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .  ||| در بیمارانی که در گذشته شیمی درمانی دریافت نکرده بودند ، میانگین زمان بقا در هر دو گروه 10 ماه بود.
However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .  ||| با این حال ، در هر دو مطالعه ، بیمارانی که سرطان آنها در سلولهای سنگفرشی تأثیر نمی گذارد ، در صورت دریافت Alimta نسبت به اینکه مقایسه کننده دریافت می کنند ، زمان بقا طولانی تر داشتند.
In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta .  ||| در مقابل ، بیمارانی که سرطان آنها در سلولهای سنگفرشی تأثیر می گذارد ، در صورت دریافت ALIMTA ، بقاء کوتاه تر داشتند.
kalgebra is a mathematical calculator based on content markup MathML language .  ||| Kalgebra یک ماشین حساب ریاضی است که بر اساس زبان MATHML MATHML محتوا است.
Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .  ||| امروزه قادر به انجام عملیات ساده MATHML (حسابی و منطقی) و نمودارهای 2D و 3D Vextante است.
It is actually not necessary to know MathML to use kalgebra .  ||| در واقع لازم نیست که از MATHML برای استفاده از Kalgebra استفاده کنیم.
kalgebra is a MathML based graph calculator .  ||| Kalgebra یک ماشین حساب نمودار مبتنی بر MATHML است.
Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .  ||| اگرچه در ابتدا MathML گرا بود ، اکنون می تواند توسط همه با دانش ریاضی کمی استفاده شود.
Here 's a screenshot of kalgebra main window  ||| در اینجا تصویری از پنجره اصلی Kalgebra است
kalgebra main window  ||| پنجره اصلی Kalgebra
kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .  ||| پنجره اصلی Kalgebra در یک برگه کنسول ، یک برگه نمودار 2D ، یک برگه نمودار سه بعدی و یک برگه فرهنگ لغت تشکیل شده است.
Below these tabs you will find an input field to type your functions or do your calculations .  ||| در زیر این برگه ها یک قسمت ورودی برای تایپ کارکردهای خود یا انجام محاسبات خود پیدا خواهید کرد.
If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .  ||| اگر می خواهیم درک کنیم که چگونه کار می کند ، بهترین کاری که می توانیم انجام دهیم این است که بدانیم ورودی ما به MATHML تبدیل می شود اگرچه لازم نیست شناخت MATHML باشد.
I have based the syntax basically on common sense , it should not be hard for anyone .  ||| من این نحو را اساساً بر اساس عقل سلیم پایه گذاری کرده ام ، نباید برای کسی سخت باشد.
I ve looked closely to maxima and maple s syntax so they look very similar .  ||| من از نزدیک به نحو Maxima و Maple نگاه کردم تا بسیار شبیه به هم باشند.
+ - * / : Addition , subtraction , multiplication and division .  ||| + - * /: علاوه بر این ، تفریق ، ضرب و تقسیم.
^ , ** : Power , you can use them both .  ||| ^ ، **: قدرت ، شما می توانید از هر دو استفاده کنید.
Also it is possible to use the unicode ² characters .  ||| همچنین می توان از کاراکترهای Unicode ² استفاده کرد.
Powers are one way to make roots too .  ||| قدرتها یکی از راه های ریشه ای نیز هستند.
-gt : It s the way to specify the bounded variable in a function .  ||| -GT: این راهی برای مشخص کردن متغیر محدود در یک تابع است.
( ) : It is used to specify a higher priority .  ||| (): از آن برای تعیین اولویت بالاتر استفاده می شود.
abc(params) : When the parser finds a function , it checks if abc is an operator .  ||| ABC (پارامترها): وقتی تجزیه کننده عملکردی پیدا می کند ، بررسی می کند که آیا ABC یک اپراتور است یا خیر.
If it is , it will be treated as an operator , if it is not , it will be treated as a user function .  ||| اگر اینگونه باشد ، به عنوان یک اپراتور رفتار می شود ، اگر اینگونه نباشد ، به عنوان یک عملکرد کاربر رفتار می شود.
: = : It is used to define a variable value .  ||| : =: برای تعریف یک مقدار متغیر استفاده می شود.
? : Piecewise condition definition .  ||| ؟ : تعریف شرایط piecewise.
Piecewise is the way we can define conditional operations in kalgebra .  ||| Piecewise روشی است که ما می توانیم عملیات مشروط در Kalgebra را تعریف کنیم.
If we introduce the condition before the ? it will use this condition only if it is true , if it finds a ? without any condition , it will enter in the last instance .  ||| اگر شرط را قبل از آن معرفی کنیم؟ اگر درست باشد ، از این شرایط استفاده می کند؟ بدون هیچ شرط ، در آخرین مورد وارد می شود.
{ } : MathML container .  ||| {}: کانتینر Mathml.
It can be used to define a container .  ||| می توان از آن برای تعریف یک ظرف استفاده کرد.
Mainly useful for working with piecewise .  ||| عمدتا برای کار با Piecewise مفید است.
Now you could ask me , why should the user mind about MathML ?  ||| حالا می توانید از من بپرسید ، چرا کاربر باید در مورد MATHML ذهن داشته باشد؟
That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .  ||| آسان است . با این کار ، ما می توانیم با کارکردهایی مانند cos () ، sin () ، هر عملکرد مثلثات دیگر ، جمع () یا محصول () کار کنیم.
It does not matter what kind it is .  ||| فرقی نمی کند که چه نوع است.
We can use plus() , times() and everything which has its operator .  ||| ما می توانیم از Plus () ، Times () و هر آنچه که اپراتور آن را دارد استفاده کنیم.
kalgebra 's console is useful as a calculator .  ||| کنسول Kalgebra به عنوان یک ماشین حساب مفید است.
There you have a list of the declared variables .  ||| در آنجا لیستی از متغیرهای اعلام شده دارید.
By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .  ||| با کلیک بر روی آنها ، گفتگوی خواهید دید که به شما امکان می دهد مقادیر آنها را تغییر دهید (فقط راهی برای فریب ورود به سیستم).
Every time you enter an expression , the " ans " variable value will be changed to the last result .  ||| هر بار که یک عبارت را وارد می کنید ، مقدار متغیر "ANS" به آخرین نتیجه تغییر می یابد.
Ctrl N New Window  ||| Ctrl n Window جدید
Flushes the log .  ||| ورود به سیستم.
Ctrl L Load Script  ||| Ctrl L اسکریپت بار
Executes the instructions in a file sequentially .  ||| دستورالعمل ها را در یک پرونده به صورت متوالی اجرا می کند.
Nice if you want to define some libraries or resume some previous work .  ||| خوب اگر می خواهید برخی از کتابخانه ها را تعریف کنید یا کارهای قبلی را از سر بگیرید.
Ctrl G Save Script  ||| ctrl g script را ذخیره کنید
Saves the instructions you have typed since the session began to be able to reuse .  ||| از زمان شروع جلسه ، دستورالعمل هایی را که تایپ کرده اید ذخیره می کند.
Generates text files so it should be easy to fix using any text editor , like Kate .  ||| فایلهای متنی را تولید می کند ، بنابراین باید با استفاده از هر ویرایشگر متن ، مانند کیت ، آسان باشد.
Ctrl S Save Log  ||| Ctrl S ذخیره ورود به سیستم
Saves the log with all results into an HTML file to be able to print or publish .  ||| ورود به سیستم با تمام نتایج در یک فایل HTML را ذخیره می کند تا بتواند چاپ یا منتشر شود.
Ctrl Q Quit  ||| Ctrl q را ترک کنید
Shuts the program down .  ||| برنامه را خاموش می کند.
To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .  ||| برای افزودن یک نمودار 2D جدید در Kalgebra ، کاری که شما باید انجام دهید این است که به برگه 2D Graph بروید و برای افزودن عملکرد جدید ، روی برگه Add کلیک کنید.
Then your focus will go to an input text box where you can type your function .  ||| سپس تمرکز شما به یک کادر متن ورودی می رود که می توانید عملکرد خود را تایپ کنید.
If you want to use a typical f(x) function it is not necessary to specify it .  ||| اگر می خواهید از یک تابع معمولی F (x) استفاده کنید ، لازم نیست آن را مشخص کنید.
If you have entered the function click on the OK button to display the graph in the main window .  ||| اگر عملکرد را وارد کرده اید ، روی دکمه OK کلیک کنید تا نمودار را در پنجره اصلی نمایش دهید.
You can set several graphs on the same view .  ||| می توانید چندین نمودار را در همان نمای تنظیم کنید.
Just use the Add button when you are in List mode .  ||| فقط وقتی در حالت لیست هستید ، از دکمه افزودن استفاده کنید.
You can set each graph its own color .  ||| می توانید هر نمودار را رنگ خود تنظیم کنید.
The Foundation has recently been involved in organising a conference which dealt with this critical challenge .  ||| این بنیاد اخیراً در برگزاری کنفرانسی که به این چالش مهم پرداخته است ، درگیر شده است.
Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .  ||| بیش از 100 شرکت کننده از گروه های ذینفع اصلی در موضوعاتی از جمله نقش بازیگران کلیدی از جمله مقامات دولتی ، شرکای اجتماعی ، سازمان های داوطلبانه و جامعه و همچنین کاربران خدمات بحث و گفتگو کردند.
There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .  ||| موارد نسبتاً کمی در مورد تلاش برای مشارکت کاربران در برنامه ریزی خدمات گزارش شده است اما مشارکت آنها در ارائه خدمات شایع تر است.
Note was also taken of the variety of different roles played by public welfare  ||| توجه داشته باشید از انواع نقش های مختلف که توسط رفاه عمومی بازی شده است
The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .  ||| این بنیاد ، به همراه کمیسیون اروپا ، وزارت امور اجتماعی اسپانیا و دولت منطقه ای گالیسی ، یک کنفرانس اروپایی در مورد محرومیت اجتماعی: یک چالش بزرگ برای خدمات بهزیستی عمومی برگزار شد.
The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .  ||| این بنیاد اخیراً یک مطالعه تطبیقی را به عنوان بخشی از پروژه EPOC منتشر کرده است که میزان مشارکت مستقیم می تواند در ضمن افزایش سودآوری بتواند کار انسان را انجام دهد.
The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .  ||| این مطالعه بر اساس مصاحبه شخصی 195 با مقامات ارشد شرکای اجتماعی به عنوان نمایندگان سازمان های اوج سطح ملی در پانزده کشور اروپایی انجام شده است.
As important industrial sectors , the metal industry and the banking sector were also included .  ||| به عنوان بخش های مهم صنعتی ، صنعت فلز و بخش بانکی نیز گنجانده شده است.
Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .  ||| سخنرانان کلیدی در کنفرانس محرومیت اجتماعی (از چپ به راست) کریستینا لورو ، اشتغال ، روابط صنعتی و امور اجتماعی ، کمیسیون اروپا فرناندو گومز ، درجه بالایی از کمیته مناطق باربارا ویلر ، عضو پارلمان اروپا خوزه ماریا گیل- Robles ، معاون رئیس جمهور ، پارلمان اروپا و جان کارول ، کمیته اقتصادی و اجتماعی.
Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .  ||| مطالعات موردی هر گزارش ملی شامل نمونه کارها بین 25 تا 30 ابتکار عمل است که بهترین سیاست ها و شیوه های موجود برای بهبود استخدام ، آموزش و توسعه کارگران پیری در محل کار و جامعه است.
For each country , two or three initiatives have been selected for further in depth case study .  ||| برای هر کشور ، دو یا سه ابتکار عمل برای مطالعه بیشتر موردی انتخاب شده است.
These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .  ||| این مطالعات موردی ، پیشینه ابتکارات ، تأثیر آنها بر الگوهای اشتغال و سازمان های کاری را مورد تجزیه و تحلیل قرار داده و مزایا و مشکلات ابتکار عمل را ارزیابی کرده است.
Visits and interviews with key personnel were also undertaken .  ||| بازدیدها و مصاحبه با پرسنل کلیدی نیز انجام شد.
These national studies will form the basis of a European report which synthesises overall practices .  ||| این مطالعات ملی اساس یک گزارش اروپایی را تشکیل می دهد که شیوه های کلی را سنتز می کند.
The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .  ||| این گزارش و یک کتاب موردی از ابتکارات در سال 1996 منتشر می شود و زمینه ای را برای کنفرانسی فراهم می کند که در پاییز 1996 برگزار شود.
The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .  ||| این بنیاد با هدف مستند سازی ویژگی های موانع سنی در استخدام شغلی و آموزش و تجزیه و تحلیل دلایل آنها.
The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .  ||| دیدگاه های شرکای اجتماعی نیز مورد بررسی قرار می گیرد ، با توجه ویژه ای به پیشنهادات رفع موانع سنی.
Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .  ||| ثالثاً ، این پروژه ابتکارات را در هر دو بخش دولتی و خصوصی که موانع سنی را به ویژه برای کارگران مسن مبارزه می کنند ، اسناد و ارزیابی می کند.
Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .  ||| این پروژه به دنبال گزینه های دیگر برای بازنشستگی و افزونگی زودرس ، در درجه اول به حفظ ، ادغام مجدد و بازآموزی کارگران مسن مربوط می شود.
The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .  ||| پیشینه جنسیت و قومی کارگران و چگونگی ارتباط اینها با تبعیض سنی بررسی می شود.
The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .  ||| این پروژه همچنین ابتکاراتی را برای مبارزه با تبعیض سن در مناطق روستایی و در شرکتهای کوچک و متوسط در نظر می گیرد.
Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .  ||| هفت کشور عضو تحت پوشش این پروژه قرار دارند: بلژیک ، فرانسه ، آلمان ، یونان ، ایتالیا ، هلند و انگلستان.
This document is a summary of the European Public Assessment Report .  ||| این سند خلاصه ای از گزارش ارزیابی عمومی اروپا است.
It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .  ||| این توضیح می دهد که چگونه کمیته محصولات دارویی برای استفاده دامپزشکی (CVMP) مطالعات انجام شده را ارزیابی کرده است تا به توصیه های خود در مورد نحوه استفاده از دارو برسد.
What is Cerenia ?  ||| Cerenia چیست؟
Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .  ||| Cerenia حاوی ماده فعال ماروپانت است و به عنوان قرص یا به عنوان محلول برای تزریق در دسترس است.
The tablets are pale-orange and have a score line on both sides so that they can be halved .  ||| قرص ها نارنجی کم رنگ هستند و از هر دو طرف خط امتیاز دارند تا بتوانند نصف شوند.
Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .  ||| هر رایانه لوحی با آرم Pfizer از یک طرف و با حروف MPT و مقدار Maropitant در طرف دیگر مشخص شده است.
What is Cerenia used for ?  ||| Cerenia برای چه چیزی استفاده می شود؟
Cerenia is an anti-emetic , this means that it stops vomiting .  ||| Cerenia ضد خویش است ، این بدان معنی است که استفراغ را متوقف می کند.
It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .  ||| از این سگ ها برای جلوگیری از استفراغ مانند استفراغ ناشی از شیمی درمانی استفاده می شود (داروهای مورد استفاده برای درمان سرطان ، که برخی از آنها به استفراغ شناخته می شود).
In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .  ||| در ترکیب با اقدامات حمایتی مانند سایر معالجه دامپزشکی یا رژیم غذایی خاص ، می توان از Cerenia در درمان استفراغ (یا به عنوان تزریق یا به عنوان تزریق و به دنبال آن قرص ها) نیز استفاده کرد.
For these purposes , Cerenia can be given for up to five days  ||| برای این اهداف ، Cerenia را می توان تا پنج روز داده شد
How does Cerenia work ?  ||| Cerenia چگونه کار می کند؟
Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .  ||| Cerenia یک گیرنده نوروکینین 1 (NK1) را مسدود می کند ، که در سیستم عصبی مرکزی عمل می کند.
How has Cerenia been studied ?  ||| چگونه Cerenia مورد مطالعه قرار گرفته است؟
A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .  ||| تعداد زیادی از مطالعات با سرنیا یا در سگهای آزمایشگاهی یا در بیماران حیوانات در اقدامات دامپزشکی در چندین کشور اروپایی و ایالات متحده انجام شد.
What benefit has Cerenia shown during the studies ?  ||| Cerenia در طول مطالعات چه فایده ای نشان داده است؟
The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .  ||| نتایج این مطالعات نشان داد که Cerenia از دارونما مؤثرتر است: استفراغ کمتری در سگهایی که دارو را دریافت می کردند نسبت به سگهایی که دارونما دریافت کرده اند ، هم در درمان و هم در پیشگیری از استفراغ دیده می شود.
The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .  ||| درمان سگ استفراغ باید با تزریق آغاز شود ، زیرا حیوانات استفراغ ممکن است نتوانند یک قرص را پایین نگه دارند (زیرا ممکن است دوباره قرص دست نخورده را به سمت بالا پرتاب کنند).
For follow-up treatment , the animal owner can administer the tablets to the dog .  ||| برای درمان پیگیری ، صاحب حیوان می تواند قرص ها را به سگ تجویز کند.
Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .  ||| همچنین ، درمان استفراغ فقط باید همراه با سایر اقدامات حمایتی یا سایر دامپزشکی ها در هنگام پرداختن به دلایل اساسی استفراغ باشد.
What is the risk associated with Cerenia ?  ||| خطر مرتبط با Cerenia چیست؟
Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .  ||| Cerenia به طور کلی هنگام تجویز روزانه با دوزها تا 5 برابر دوزهای توصیه شده برای مدت زمان طولانی (حداکثر 3 برابر حداکثر مدت توصیه شده از درمان) به خوبی تحمل می شد.
What are the precautions for the person who gives the medicine or comes into contact with the animal ?  ||| اقدامات احتیاطی برای شخصی که دارو را می دهد یا با حیوان در تماس است چیست؟
Cerenia does not represent a particular risk for people .  ||| Cerenia خطر خاصی را برای مردم نشان نمی دهد.
