PairID	Text1	Text2 Translation
ENG-dev-0191	rubbish will often tell you more about someone than a conversation face to face .	La basura que alguien deja en la acera a menudo puede decir más que una conversación cara a cara.
ENG-dev-0192	Act like it doesn't bother you.	¿Por qué te excita?
ENG-dev-0193	John and Edie were both outstanding characters.	El autor hizo un muy buen trabajo al hacer que estos personajes fueran tan diferentes, pero identificables entre sí.
ENG-dev-0194	do you really think you 'll open it before the cops get here ?	¿De verdad crees que podrás resolver eso antes de que llegue la policía?
ENG-dev-0198	The population was 610 at the 2000 census .	En el año 2000, la población era de 11.792 habitantes.
ENG-dev-0199	Only Ever Yours is a dystopian novel and probably one of the most unsettling I've ever read.	Uf quiero leer el siguiente ------------------------------------------- -------------------------------
ENG-dev-0200	There are over 35 formal flowerbeds, geometric pathways, rose arbor, grape arbor, fruit trees, and vegetable and herb gardens.	Se utiliza ampliamente un invernadero para proporcionar plántulas utilizadas en la finca.
ENG-dev-0204	Glidden is a town in Carroll County , Iowa , United States .	Balsam Lake es una ciudad en el condado de Polk, Wisconsin, Estados Unidos.
ENG-dev-0205	And all were inducted into the College Football Hall of Fame . ''	Todos ellos llegaron al Salón de la Fama del Fútbol Americano Universitario. ''
ENG-dev-0206	and the vultures who really do suede !	¡Y buitres que realmente pueden zumbar!
ENG-dev-0208	Four young boys are running down a sidewalk.	Cuatro jóvenes flexionándose ante la cámara.
ENG-dev-0209	But he is such a great guy and loves her for who she is.	Él es un gran tipo y la ama por la persona que es.
ENG-dev-0210	And if reality TV really contained as many complicated, engaging characters as this book -- well, I would watch more of it.	(Realmente sólo hago programas de cocina.
ENG-dev-0211	At this point a local road -LRB- to Scout Green -RRB- runs between the two carriageways without a link to the motorway .	El distrito de Locarno -LRB- también llamado Locarnese -RRB- es un distrito del cantón Ticino, Suiza.
ENG-dev-0215	A woman with ripped jeans and boots is playing a street game.	Un gran grupo de personas se reúne afuera de una calle muy transitada.
ENG-dev-0216	I highly recommend that you read this book.	Este es el primer libro que leo en meses...
ENG-dev-0217	Long Hollow is a tributary of the creek.	La cuenca del arroyo tiene una superficie de 7,2 millas cuadradas (19 km2).
ENG-dev-0219	Man standing in front on automated turn stile.	Una mujer parada frente a una escena de playa y sonriendo.
ENG-dev-0223	The engine produced 55 hp (41 kW), giving the car a 90 km/h (56 mph) top speed.	El motor es un motor delantero con tracción trasera.
ENG-dev-0225	A quick research (1, 2) showed me that the concentration of caffeine seems to peak about 30-60mins after ingestion.	El problema es que nunca llega a ser útil en su verdadero significado.
ENG-dev-0228	A masked steel worker in orange works on a piece of metal, yellow sparks flying.	Niños afroamericanos jugando en una calle frente a un coche amarillo.
ENG-dev-0229	A man in white playing an instrument outside.	un hombre se cae de su kayak.
ENG-dev-0231	Here's a girl who just is.	Ella no quiere nada de él, ni siquiera su atención.
ENG-dev-0232	What can I say I need MORE.	No puedo decir que me guste mucho Emma y sus amigos son súper molestos.
ENG-dev-0233	I hope they do not make a mistake like they did with the secondone.	Sí, pero no esperes que la responsabilidad financiera recaiga sobre mis hombros.
ENG-dev-0234	Rhesalistis is a monotypic moth genus of the family Erebidae erected by George Hampson in 1926.	Su única especie, Rhesalistis rotundata, fue descrita por primera vez por Rothschild en 1915.
ENG-dev-0235	The new rings bring the total number of Uranian rings to 13 .	En 2010, la gente sabe que el sistema de anillos de Urano tiene 13 anillos.
ENG-dev-0239	That said, I had a great time living in this book.	Es difícil creer que quede alguien que quiera leer Los juegos del hambre y no lo haya hecho.
ENG-dev-0248	Waco is a city in and the county seat of McLennan County , Texas .	Es la sede del condado de Morris.
