PairID	Text1	Text2
ENG-dev-0110	Me encanta esta serie y este libro fue muy rápido.	I could not stop reading it.
ENG-dev-0066	Only love and truth from now on.	Sólo amor y verdad de ahora en adelante.
ENG-dev-0111	Billericay forma parte del cinturón de cercanías de Londres.	Billericay is a town in the United Kingdom .
ENG-dev-0063	Actualmente juega en la Segunda División rusa en el FC Volga Tver.	Since August 2009 , he has played for FC -LRB- Football Club -RRB- Volga Tver .
ENG-dev-0062	Hay una mujer con una camisa rosa sosteniendo una lata y otros tres hombres.	A boy in a striped shirt walking a small dog on a leash.
ENG-dev-0023	*golpea la cabeza contra la pared repetidamente* ¿Por qué, oh, por qué no funcionó?	It had all of the Green and Levithan quirkiness.
ENG-dev-0143	Esta vez el líquido aumentó en cantidad como el doble.	But my cousins were watching so I had to suck it up which totally sucked.
ENG-dev-0019	Bienvenido Bob tiene una hermosa casa de hispanos, subiéndose a una camioneta blanca en la entrada suroeste.	well , welcome i 've got a beautiful house hispanic male , nonsmoker , enters white van , southwest door .
ENG-dev-0001	La mayor parte del área del sudeste de Alaska es parte del Bosque Nacional Tongass, el bosque nacional más grande de los Estados Unidos.	A lot of of the panhandle is part of the Tongass National Forest , which is the biggest national forest in the United States .
ENG-dev-0233	Espero que no cometan un error como lo hicieron con el segundo.	Yes but do not expect the financial responsibility to fall on my shoulders.
ENG-dev-0128	Entrenadores de la selección de fútbol de Inglaterra.	The host nation then presents artistic displays of music , singing , dance , and theater representative of its culture .
ENG-dev-0046	Su asiento de condado es Perry.	Its county seat is Waurika .
ENG-dev-0037	Ha jugado para la selección nacional de Japón.	He is best known as the drummer for the punk rock band , Rise Against .
ENG-dev-0087	Creo que es porque siento que este libro no fue tan profundo.	This seemed like a weak reason to me, but I went along with it.
ENG-dev-0207	¿Es una psicología popular o hay algo de verdad?	is that just pop psychology , or is there some truth to it ?
ENG-dev-0161	Cada uno de ellos se describe poderosamente y la poesía se encuentra entre las mejores del inglés medio.	In each case, the poet warns his readers about the dangers of defilement and the joys of purity.
ENG-dev-0050	Si quieres mi opinión, sí.	If so, it is very, very easy.
ENG-dev-0220	Hubo bastantes giros en Invaded que me dejaron conmocionado y deseando saber más.	Cara had figured out who was trying to ruin the alliance, and that they weren't what they appeared to be.
ENG-dev-0022	Quiero decir, no puedes hacer que los arresten a todos.	and to all of this , i have proof that there is life after death .
ENG-dev-0018	Tiene la voz del cocreador de la serie Matt Stone y está basado libremente en él.	He is voiced by and influenced by Matt Stone , one of the people who made the show .
ENG-dev-0206	¡Y los buitres que realmente hacen ante!	and buzzards that can really buzz !
ENG-dev-0034	Sin embargo, se vuelven molestos después de un tiempo.	They get very annoying after a while though.
ENG-dev-0053	¿Crees que te será útil?	you think he is of use to you ?
ENG-dev-0162	Definitivamente una de mis historias favoritas de todos los tiempos.	Definitely one of the better indies.
ENG-dev-0099	Boletos, facturas de hotel, autos alquilados, todo escrito con nombres falsos, rastreados hasta ella.	plane tickets , hotel bills , rental cars , all registered to aliases traceable to her .
ENG-dev-0007	Fue incluido en el Registro Nacional de Lugares Históricos en 1979, actualizado en 2008.	It became part of the National Register of Historic Places in 1979 .
ENG-dev-0243	Segundo, ¿la música al final?	Towards the end was intense.
ENG-dev-0121	Sacrifica tu carrera y luego ella se quejará de que no traes suficiente dinero a casa.	If you sacrafice your career, she will complain that you do not mae enough money.
ENG-dev-0056	En primer lugar, técnicamente se trata de dos novelas cortas en una.	I picked up and finished reading this book a couple of days ago and already I'm starting to forget things about it.
ENG-dev-0061	¡¡¡PODRÍAS HACER MUCHO MEJOR Y ENCONTRAR UN HOMBRE O NIÑO QUE SE IMPORTE Y QUE TE HAGA BIEN !!!!	You could do much better, and find a man or boy who does care, and will treat you properly.
ENG-dev-0000	La historia es apasionante e interesante.	It's a brilliant, compelling, and heartfelt story.
ENG-dev-0212	Las acciones de PG&E Corp. subieron 39 centavos o 2,6 por ciento a 15,59 dólares en la Bolsa de Nueva York el martes.	PG&E's shares gained 24 cents to $15.44 during Tuesday's trading on the New York Stock Exchange.
ENG-dev-0189	Empicoris es un género cosmopolita de chinche de patas roscadas (Emesinae).	Numerous species have been described.
ENG-dev-0158	Encuentra a alguien más a quien puedas amar.	Identify another individual you would be infatuated with
ENG-dev-0231	Aquí hay una chica que simplemente es.	She wants nothing from him--not even his attention.
ENG-dev-0135	No estoy seguro, pero tal vez las chicas Gilmore.	And I'm not a freak, neither are you.
ENG-dev-0191	La basura muchas veces te dirá más sobre alguien que una conversación cara a cara.	the garbage someone leaves on the curb can often tell you more than a face-to-face conversation .
ENG-dev-0067	Mientras tanto, llama a los peces gordos para ayudar a resolver el misterio del secuestro: Deming Chen.	Deming infiltrates the popular group of vampires who were at the party to start nosing around and asking questions.
ENG-dev-0145	Menciono que esta relación es una complicación para Grace porque no quiere cuidar y eventualmente perder a otra persona.	She sets out to protect Eva from her mom by keeping the truths about her mom secret from Eva.
ENG-dev-0169	Fairest es un libro maravilloso y una explicación de por qué Levana es como es y por qué tomó ciertas decisiones.	When she finds why, she must decide for herself what to do.
ENG-dev-0188	Gracias a Spencer Hill Press y Netgaley por proporcionar esta copia de lectura avanzada para una revisión honesta.	Disclaimer: I received a free electronic copy of this novel in exchange for an honest review.
ENG-dev-0031	Pero, por supuesto, no es tan sencillo.	However, this is not for me.
ENG-dev-0102	Definitivamente una lectura dulce y rápida.	I grew to love Warner here.
ENG-dev-0178	Las personas con BDD suelen tener más de un área de preocupación.	In most examples , BDD is not found even when people have it .
ENG-dev-0216	Le recomiendo encarecidamente que lea este libro.	This is the first book I've read in months...
ENG-dev-0044	Las caravanas pueden utilizarse para transportar a una persona muy importante, normalmente una figura política.	Motorcades can be used to transport a very important person -LRB- VIP -RRB- , usually a political figure .
ENG-dev-0235	Los nuevos anillos elevan a 13 el número total de anillos de Urano.	As of 2010 people know that the Uranian ring system have 13 rings .
ENG-dev-0097	¡No sabía que estaba casado porque aún no había visto ese episodio!	if the guy doesnt like you for who you are then he is not worth it!
ENG-dev-0247	Uwe Seeler (LRB) nacido el 5 de noviembre de 1936 en Hamburgo (RRB) es un exdirigente de fútbol alemán y futbolista retirado.	Alain Giresse -LRB- born 2 August 1952 in Langoiran , Gironde -RRB- is a retired French professional football -LRB- soccer -RRB- midfielder .
ENG-dev-0151	Un par de jóvenes con camisetas se esconden en el bosque y uno de ellos parece horrorizado.	Two smiling little girls playing in a fountain with other people.
ENG-dev-0193	John y Edie eran personajes destacados.	The author did a really good job at making these characters so different, but relatable to each other.
ENG-dev-0006	Ellegarden es un grupo de rock japonés formado en diciembre de 1998 en Chiba, Japón.	Ellegarden is a Japanese band formed in 1998 by four young men .
ENG-dev-0203	Creo que a ambos nos enseñaron cuando intentamos ayudar a alguien que nos importaba.	i think we both got screwed in trying to do a favor for someone we cared about .
ENG-dev-0072	Hombre barbudo con chaqueta azul caminando por la calle.	A bald man stands next to a pay phone, looking the other direction.
ENG-dev-0080	Cada uno de ellos tiene muchas cosas que hacer en sus vidas.	Actually, that is one of my complaints about this book.
ENG-dev-0079	P: ¿Cómo se saca de un árbol a una rubia manca?	Here's joke for you, how do you get a one-armed blonde out of a tree?
ENG-dev-0241	Palak es uno de los 51 consejos sindicales del distrito de Abbottabad en la provincia de Hazara en Pakistán.	Palak is one of the 51 Union Councils of Abbottabad District in the North-West Frontier Province of Pakistan .
ENG-dev-0187	Pocas cosas: Brennan NO es el único apellido que está bien, solo decirlo.	Tory is not the only person there, she was with one of her friends most of the time.
ENG-dev-0238	"El álbum incluía el primer gran éxito internacional del grupo, ""Emma"" y ""Disco Queen""."	"The album did not contain the song ""Brother Louie"", which had been a US hit for the American band The Stories."
ENG-dev-0021	"Hay desarrollo de personajes, también descubre las relaciones humanas, habla sobre la familia, los amigos, el amor y cómo ""para siempre"" puede ser diferente para todos."	It's definitely one of my favorites :)
ENG-dev-0177	No lo creo porque es demasiado mayor para mí.	When they do not want you to know the answer,especially.
ENG-dev-0100	Igor Tudor -LRB- nacido el 16 de abril de 1978 en Split -RRB- es un ex defensor de fútbol -LRB- croata -RRB-.	Tadao Onishi -LRB- April 18 , 1943 -- June 29 , 2006 -RRB- was a Japanese football player .
ENG-dev-0083	Entombed A.D. fue una banda sueca de death metal formada en 2014, compuesta por ex miembros de Entombed tras su ruptura.	They released their debut album, Back to the Front, the same year.
ENG-dev-0094	Marion abrió la puerta, que se suponía debía estar cerrada por dentro.	she opened a door that should have been locked .
ENG-dev-0104	Melcher-Dallas es una ciudad en el condado de Marion, Iowa, Estados Unidos.	Shinagawa has sister-city relationships with Auckland in New Zealand , Geneva in Switzerland , and Portland , Maine in the United States .
ENG-dev-0055	Tradicionalmente, las hojas de plátano se utilizan como platos para servir thali del sur de la India o durante Sadya.	Plantain leaves are used like plates in several dishes , including Hallaca from Venezuela , or south Indian Thali .
ENG-dev-0221	Galena tiene tres escuelas.	Galena is a city in Alaska .
ENG-dev-0010	La carne se deja caer en una sartén.	A woman is putting meat in a pan.
ENG-dev-0014	Por cierto, ¿qué le hizo dejarte?	Ask yourself if you actually love him.
ENG-dev-0005	Connor is the exception to his families rules.	Hace cosas para parecer el hijo perfecto mientras vive tranquilamente su propia vida.
ENG-dev-0006	Ellegarden is a Japanese rock group formed in December 1998 in Chiba , Japan .	Ellegarden es una banda japonesa formada en 1998 por cuatro jóvenes.
ENG-dev-0007	It was listed on the National Register of Historic Places in 1979 , updated in 2008 .	Pasó a formar parte del Registro Nacional de Lugares Históricos en 1979.
ENG-dev-0008	an hour and a half from the evening service passed .	Ya ha pasado una hora y media desde que empezó el servicio de cena.
ENG-dev-0009	One of the major disorders is Gender Identity Disorder .	Los médicos pueden diagnosticar a esta persona con trastorno de identidad de género.
ENG-dev-0010	Meat is dropped into a pan.	Una mujer pone carne en una sartén.
ENG-dev-0015	The festival was headlined by local and international musical groups and artists , including :	Se presentaron grupos musicales y artistas locales e internacionales, entre ellos:
ENG-dev-0016	Strictly speaking, it refers to text that is inscribed on a tombstone or plaque, but it may also be used in a figurative sense.	Algunos epitafios son especificados por la propia persona antes de su muerte, mientras que otros son elegidos por los responsables del entierro.
ENG-dev-0019	welcome bob has a beautiful house of hispanic , getting into a white van at the southwest entrance .	Bueno, bienvenido, tengo una hermosa casa. Hombre hispano, no fumador, entra en camioneta blanca, puerta suroeste.
ENG-dev-0021	"There's character development, it's also uncovers human relationship, it tells about family, friends, love, and how ""forever"" might be different for everyone."	Definitivamente es uno de mis favoritos :)
ENG-dev-0022	i mean , you ca n't have them all arrested .	y a todo esto, tengo pruebas de que hay vida después de la muerte.
ENG-dev-0026	Mamtesh Shakya is an Indian politician and a member of the Seventeenth Legislative Assembly of Uttar Pradesh in India.	Representa al distrito electoral Patiyali de Uttar Pradesh y es miembro del Partido Bhartiya Janta.
ENG-dev-0027	Formed in June 2004, the band consists of Matt Rauch (lead vocals), Ryan Baredes (guitar), and Max Rauch (Drums).	Han lanzado dos álbumes.
ENG-dev-0029	Its county seat is Alva .	Su asiento de condado es Bartlesville.
ENG-dev-0030	She didn't break down, she was strong and human.	Decir que nunca hubo un momento aburrido es quedarse corto.
ENG-dev-0031	But, of course, it's not that simple.	Sin embargo, esto no es para mí.
ENG-dev-0035	A boy with no shirt is standing in water.	"skater ""haciendo estallar un caballito"" cerca del agua."
ENG-dev-0038	In addition , it is home to a well-known cemetery , Forest Park Cemetery , currently under the jurisdiction of the town .	Los peroné también se dividen en clases según sus formas generales.
ENG-dev-0039	the mission was running smoothly .	La misión iba demasiado bien.
ENG-dev-0040	What will she do for the ones she loves?	Ella es hermosa por fuera pero no ve lo que ven los demás.
ENG-dev-0041	the people speak , and they have chosen you , britt .	La gente ha hablado y te quiere, Brit.
ENG-dev-0044	Motorcades can be used to transport a very important person , usually a political figure .	Las caravanas se pueden utilizar para transportar a una persona muy importante -LRB-VIP-RRB-, normalmente una figura política.
ENG-dev-0045	A young girl is drinking a drink through a straw.	cuatro niños pequeños juegan baloncesto.
ENG-dev-0048	I was on the edge of my seat for most of this book and could not stop reading.	La única queja que tengo con este libro es que simplemente no es lo suficientemente largo.
ENG-dev-0049	If you hurt someone like that then you dont love them.	No puedes buscar el amor, él te encontrará.
ENG-dev-0050	If you want my oppinion, yes.	Si es así, es muy, muy fácil.
ENG-dev-0052	Manilla is a city in Crawford County , Iowa , United States , along the West Branch of the West Nishnabotna River .	Hastings es una ciudad en el condado de Mills, Iowa, Estados Unidos.
ENG-dev-0053	do you think he 'll be useful to you ?	¿Crees que te es útil?
ENG-dev-0055	Traditionally , plantain leaves are used like plates while serving South Indian thali or during Sadya .	Las hojas de plátano se utilizan como platos en varios platos, incluida la hallaca de Venezuela o el Thali del sur de la India.
ENG-dev-0056	First off, technically this is two novellas in one.	Cogí y terminé de leer este libro hace un par de días y ya estoy empezando a olvidarme de algunas cosas.
ENG-dev-0064	The characters are well-developed, and the plot is very intense and well-done.	Este es un libro que querrás leer con las luces encendidas.
ENG-dev-0065	It is a great character study.	Annith, como Ismae y Sybella antes que ella, era una protagonista interesante con una historia de fondo fascinante.
ENG-dev-0070	Valvular heart disease is disease process that affects one or more valves of the heart .	Si las personas padecen una enfermedad cardíaca más adelante, se denomina enfermedad cardíaca adquirida.
ENG-dev-0071	there 's even the name of the company that imported the bed .	Incluso menciona el nombre de la empresa de mudanzas que colocó la cama.
ENG-dev-0072	Bearded man in a blue jacket walking down the street.	Un hombre calvo se encuentra junto a un teléfono público, mirando en la otra dirección.
ENG-dev-0073	well , from my point of view , i guess this is quahog , but it 's no ice age .	Por lo que parece, supongo que esto es quahog, pero durante algún tipo de edad de hielo.
ENG-dev-0077	He begins to show an interest in Megan, but Alex warns him to stay away.	Excita a Megan, le gusta a un chico mayor.
ENG-dev-0078	If you are truly interested in this man, approach him and talk.	No estoy seguro de amar a este chico, pero realmente me gusta mucho.
ENG-dev-0079	Q: How do you get a one-armed blonde out of a tree?	Aquí tienes un chiste: ¿cómo sacas a una rubia manca de un árbol?
ENG-dev-0081	Douglas Robinson, a senior vice president of finance, will take over as chief financial officer on an interim basis.	Douglas Robinson, vicepresidente senior de finanzas de CA, ocupará el puesto mientras tanto.
ENG-dev-0082	Two policemen in black and neon colors watch a light rail car go by.	Un hombre asiático vestido con ropa y zapatos negros y rojos dribla una pelota de baloncesto en una cancha.
ENG-dev-0085	It's not THE WHO It's The GUESS WHO	No eres el único.
ENG-dev-0088	Wyanbene is a geographic area between Braidwood and Cooma in Southern NSW, Australia.	Incluye un importante sistema de cuevas y se encuentra junto al Parque Nacional Deua.
ENG-dev-0090	finally , the itching stopped .	Finalmente controlé esa picazón.
ENG-dev-0092	The bulk of the funds, some $65 billion, will go for military operations in Iraq and Afghanistan.	La mayor parte de la factura -64.700 millones de dólares- se destina a operaciones militares principalmente en Irak y Afganistán.
ENG-dev-0099	tickets , hotel bills , rented cars , all written on fake names , traced back to her .	billetes de avión, facturas de hotel, coches de alquiler, todo ello registrado con alias atribuibles a ella.
ENG-dev-0104	Melcher-Dallas is a city in Marion County , Iowa , United States .	Shinagawa tiene relaciones de ciudades hermanas con Auckland en Nueva Zelanda, Ginebra en Suiza y Portland, Maine en Estados Unidos.
ENG-dev-0106	Iran says UN nuclear talks will continue	"Irán dice que las conversaciones nucleares con la ONU son ""constructivas"""
ENG-dev-0107	A child is walking through wet sand wearing a blue shirt.	Una mujer con una camisa azul está de pie con las manos en las caderas.
ENG-dev-0109	In addition to housing the Trondheim Tramway Museum, it features the offices and depot for the tram operator, Boreal Bane.	La estación también cuenta con uno de los tramos de doble vía de la línea, por donde pueden pasar los tranvías.
ENG-dev-0111	Billericay is a part of the London commuter belt .	Billericay es una localidad del Reino Unido.
ENG-dev-0112	i 'll tell her right now .	Eso está justo cerca del parque Juniata.
ENG-dev-0113	Mexican singer Jenni Rivera believed killed in plane crash	Jenni Rivera, estrella de la música mexicana, muere en accidente aéreo
ENG-dev-0114	The Roman Senate was a political institution in ancient Rome .	El Golfo también es un caldo de cultivo para ciclones durante el período comprendido entre noviembre y abril.
ENG-dev-0115	It is native to the southwestern United States, where it grows in scrub, woodland, and canyons.	Es una hierba perenne que crece erguida hasta una altura máxima cercana al medio metro.
ENG-dev-0117	The city is the county seat of Blount County .	Es la sede del condado de Northampton.
ENG-dev-0118	Its orchestra is the Bavarian State Orchestra .	En 1923 partió hacia Estados Unidos.
ENG-dev-0119	I received Losing Hope as an ARC in exchange for an honest review.	Recibí una copia de esta novela del autor a cambio de una reseña honesta.
ENG-dev-0121	sacrifice your career and then she'll complain that you don't bring enough money home .	Si sacrificas tu carrera, ella se quejará de que no ganas suficiente dinero.
ENG-dev-0122	okay , i 'm leaving myself behind this situation .	Vale, me recuso de esta situación.
ENG-dev-0123	I might seem a masochist but it really was funny :D and Poet's thoughts were brilliant and unusual.	No sé, realmente amaba a todos los personajes con su locura y todo.
ENG-dev-0124	Don't ever regret anything you do.	Te recomiendo que nunca te arrepientas de nada de lo que haces.
ENG-dev-0126	We are all vessels filled with many wonders.	Jingle Bell Rock de Bobby Helm Todos somos recipientes llenos de muchas maravillas.
ENG-dev-0128	Managers of the England national football team .	Luego, la nación anfitriona presenta exhibiciones artísticas de música, canto, danza y teatro representativas de su cultura.
ENG-dev-0130	Cincinnati is a city in Appanoose County , Iowa , United States .	Pella es una ciudad en el condado de Marion, Iowa, Estados Unidos.
ENG-dev-0131	Iraqi Bomb Attacks Kill At Least 13	Coche bomba iraquí cerca de una iglesia mata al menos a 14 personas
ENG-dev-0132	Ippei Watanabe -LRB- born 28 September 1969 -RRB- is a former Japanese football player .	Masanaga Kageyama -LRB- nacido el 23 de mayo de 1967 -RRB- es un ex jugador de fútbol japonés.
ENG-dev-0133	The character has been generally well received by critics favouring her sound medical skills and poor bedside manner.	Pero Duncan Lindsay, que escribe para el periódico Metro, acusó al personaje de ser unidimensional.
ENG-dev-0137	Oh, and Gigi also has to run for student council.	Pero también tiene una racha impredecible (es decir,
ENG-dev-0138	A man in a red shirt sitting on a plastic stool in a shaded sandy area.	Un joven vestido con jeans y chaqueta caminando por una calle.
ENG-dev-0139	Last I heard (and this is pure gossip), they're engaged to be married.	Escuché algunos chismes acerca de que estaban comprometidos para casarse.
ENG-dev-0140	arrange one week of surprises for her.	Planea sorprenderla durante toda una semana.
ENG-dev-0142	The protein encoded by this gene belongs to the MYST family of histone acetyl transferases (HATs) and was originally isolated as an HIV-1 TAT-interactive protein.	Los HAT desempeñan funciones importantes en la regulación de la remodelación de la cromatina, la transcripción y otros procesos nucleares mediante la acetilación de proteínas histonas y no histonas.
ENG-dev-0143	This time the liquid increased in quantity by like double.	Pero mis primos estaban mirando, así que tuve que aguantar, lo cual fue una auténtica mierda.
ENG-dev-0144	Two old women sit on a bench having a conversation.	Cuatro mujeres riendo sentadas alrededor de una mesa de comedor.
ENG-dev-0150	This is an area where an increasing amount of private firms are taking business away from the trusts .	En algunos lugares, las empresas privadas hacen este trabajo, pero puede ser una gran fuente de dinero para los fideicomisos.
ENG-dev-0157	Two people wearing black sit on a bench and look down.	Dos hombres con gafas de sol caminan junto a una pared roja.
ENG-dev-0158	Find somebody else that you could love.	Identifique a otra persona de la que estaría enamorado
ENG-dev-0159	Kids play soccer on a field.	Tres niños jugando al fútbol en un campo.
ENG-dev-0162	Definitely one of my very favourite stories of all time.	Sin duda uno de los mejores indies.
ENG-dev-0164	You just can't help but fall in love with him too.	Fue muy respetuoso y todo lo que hizo por Natalie derritió tu corazón.
ENG-dev-0166	there is one song by cold chisel, cant think of the name of it sorry	Hay una canción de Cold Chisel, no se me ocurre el nombre.
ENG-dev-0167	a young man and a small boy holding a large movie camera standing next to a set of tracks.	Un joven vestido con una camiseta roja y pantalones negros realiza un soporte de rueda delantera en una bicicleta.
ENG-dev-0172	you 're grounded by the tyres .	Golpe, hombre. lo encuentras ?
ENG-dev-0174	Copy from Netgalley for honest review.	De verdad disfruté este libro.
ENG-dev-0176	It wasn't addressed as well or as thoroughly as I would have liked/thought was necessary.	No es lo que pensé que sería.
ENG-dev-0177	I do not think so because he is too old for me.	Cuando no quieren que sepas la respuesta, especialmente.
ENG-dev-0179	If she is a smart girl she can convince the guy to wait	Si tiene algo de inteligencia, podrá convencer al chico de que espere.
ENG-dev-0181	I do not know when it will be available for sale in Jakarta.	Es triste porque nunca podré volver a casa.
ENG-dev-0184	The capital is Morioka .	Su capital es la ciudad de Benevento.
ENG-dev-0188	Thanks to Spencer Hill Press and Netgaley for providing this advanced reader copy for an honest review.	Descargo de responsabilidad: recibí una copia electrónica gratuita de esta novela a cambio de una reseña honesta.
ENG-dev-0189	Empicoris is a cosmopolitan genus of thread-legged bug (Emesinae).	Se han descrito numerosas especies.
